,dassco0024,Top,dassco0215,Side,dassco0063,dassco0056,dassco0218,total
44,0 days 00:00:00.094297,0 days 00:00:00.118690,0 days 00:00:00.118573,0 days 00:00:00.118651,0 days 00:00:00.118501,0 days 00:00:00.142127,0 days 00:00:00.024717,0 days 00:00:00.143937
45,0 days 00:00:00.099098,0 days 00:00:00.099173,0 days 00:00:00.149938,0 days 00:00:00.126021,0 days 00:00:00.125949,0 days 00:00:00.102023,0 days 00:00:00.025249,0 days 00:00:00.152053
46,0 days 00:00:00.094286,0 days 00:00:00.118250,0 days 00:00:00.094244,0 days 00:00:00.118407,0 days 00:00:00.141608,0 days 00:00:00.094167,0 days 00:00:00.024869,0 days 00:00:00.143407
47,0 days 00:00:00.095992,0 days 00:00:00.123912,0 days 00:00:00.123865,0 days 00:00:00.124103,0 days 00:00:00.123749,0 days 00:00:00.096072,0 days 00:00:00.123954,0 days 00:00:00.124303
48,0 days 00:00:00.097899,0 days 00:00:00.121947,0 days 00:00:00.122197,0 days 00:00:00.122025,0 days 00:00:00.122105,0 days 00:00:00.122067,0 days 00:00:00.024564,0 days 00:00:00.122466
49,0 days 00:00:00.093622,0 days 00:00:00.120240,0 days 00:00:00.120031,0 days 00:00:00.120195,0 days 00:00:00.120092,0 days 00:00:00.093702,0 days 00:00:00.025423,0 days 00:00:00.120545
50,0 days 00:00:00.099072,0 days 00:00:00.123204,0 days 00:00:00.122909,0 days 00:00:00.123243,0 days 00:00:00.123160,0 days 00:00:00.122987,0 days 00:00:00.024617,0 days 00:00:00.125111
51,0 days 00:00:00.096439,0 days 00:00:00.096541,0 days 00:00:00.096587,0 days 00:00:00.172934,0 days 00:00:00.173027,0 days 00:00:00.147385,0 days 00:00:00.049296,0 days 00:00:00.173351
52,0 days 00:00:00.147177,0 days 00:00:00.171180,0 days 00:00:00.171221,0 days 00:00:00.097120,0 days 00:00:00.171110,0 days 00:00:00.097199,0 days 00:00:00.025454,0 days 00:00:00.171528
53,0 days 00:00:00.116680,0 days 00:00:00.116604,0 days 00:00:00.162237,0 days 00:00:00.116872,0 days 00:00:00.116949,0 days 00:00:00.092639,0 days 00:00:00.024869,0 days 00:00:00.162631
54,0 days 00:00:00.095974,0 days 00:00:00.124433,0 days 00:00:00.124271,0 days 00:00:00.095887,0 days 00:00:00.148554,0 days 00:00:00.148377,0 days 00:00:00.025151,0 days 00:00:00.150431
55,0 days 00:00:00.102012,0 days 00:00:00.102088,0 days 00:00:00.078445,0 days 00:00:00.029726,0 days 00:00:00.150734,0 days 00:00:00.078519,0 days 00:00:00.029658,0 days 00:00:00.152929
56,0 days 00:00:00.096244,0 days 00:00:00.146173,0 days 00:00:00.148047,0 days 00:00:00.120919,0 days 00:00:00.120996,0 days 00:00:00.097306,0 days 00:00:00.025530,0 days 00:00:00.148911
