,dassco0063,Top,dassco0215,Side,dassco0024,dassco0056,dassco0218,total
64,0 days 00:00:01.568592,0 days 00:00:01.615870,0 days 00:00:01.615797,0 days 00:00:01.685369,0 days 00:00:01.615916,0 days 00:00:01.639273,0 days 00:00:01.758666,0 days 00:00:01.758890
65,0 days 00:00:01.649492,0 days 00:00:01.695596,0 days 00:00:01.649413,0 days 00:00:01.718767,0 days 00:00:01.743645,0 days 00:00:01.624321,0 days 00:00:01.791808,0 days 00:00:01.791862
66,0 days 00:00:01.591665,0 days 00:00:01.616347,0 days 00:00:01.591565,0 days 00:00:01.642368,0 days 00:00:01.616238,0 days 00:00:01.617440,0 days 00:00:01.759275,0 days 00:00:01.759409
67,0 days 00:00:01.532704,0 days 00:00:01.676897,0 days 00:00:01.583252,0 days 00:00:01.654056,0 days 00:00:01.676833,0 days 00:00:01.653977,0 days 00:00:01.749378,0 days 00:00:01.749410
68,0 days 00:00:01.574101,0 days 00:00:01.620904,0 days 00:00:01.620791,0 days 00:00:01.666732,0 days 00:00:01.597695,0 days 00:00:01.735126,0 days 00:00:01.783308,0 days 00:00:01.783861
69,0 days 00:00:01.704598,0 days 00:00:01.704450,0 days 00:00:01.727755,0 days 00:00:01.681094,0 days 00:00:01.704517,0 days 00:00:01.727809,0 days 00:00:01.847590,0 days 00:00:01.847834
70,0 days 00:00:01.540514,0 days 00:00:01.564407,0 days 00:00:01.540607,0 days 00:00:01.631608,0 days 00:00:01.677607,0 days 00:00:01.631689,0 days 00:00:01.793895,0 days 00:00:01.794775
71,0 days 00:00:01.570869,0 days 00:00:01.666010,0 days 00:00:01.597069,0 days 00:00:01.712520,0 days 00:00:01.735773,0 days 00:00:01.689184,0 days 00:00:01.805883,0 days 00:00:01.806828
72,0 days 00:00:01.672743,0 days 00:00:01.624416,0 days 00:00:01.719111,0 days 00:00:01.789362,0 days 00:00:01.742314,0 days 00:00:01.672929,0 days 00:00:01.835895,0 days 00:00:01.837805
73,0 days 00:00:01.582005,0 days 00:00:01.607063,0 days 00:00:01.653996,0 days 00:00:01.699664,0 days 00:00:01.630417,0 days 00:00:01.745704,0 days 00:00:01.816610,0 days 00:00:01.816878
74,0 days 00:00:01.080552,,0 days 00:00:01.013198,,,0 days 00:00:01.102985,,0 days 00:00:01.104862
75,0 days 00:00:00.995428,0 days 00:00:01.040257,0 days 00:00:00.970904,0 days 00:00:02.070351,0 days 00:00:01.040427,0 days 00:00:01.108259,0 days 00:00:01.219561,0 days 00:00:02.070551
